epoch,step,test_rmse,train_loss,val_rmse
0,29,,,190834.90625
1,49,,37570990080.0,
1,59,,,190735.5
2,89,,,190374.4375
3,99,,34036686848.0,
3,119,,,189494.015625
4,149,,46107332608.0,
4,149,,,187805.890625
5,179,,,185030.640625
6,199,,35565715456.0,
6,209,,,180926.296875
7,239,,,175291.28125
8,249,,35592843264.0,
8,269,,,167925.0625
9,299,,22203959296.0,
9,299,,,158729.65625
10,329,,,147839.703125
11,349,,25762129920.0,
11,359,,,135396.59375
12,389,,,121452.6640625
13,399,,11941126144.0,
13,419,,,106715.234375
14,449,,8217878016.0,
14,449,,,91889.6484375
15,479,,,77851.53125
16,499,,6071655936.0,
16,509,,,65162.1015625
17,539,,,54700.4921875
18,549,,2898654720.0,
18,569,,,47050.81640625
19,599,,4703362048.0,
19,599,,,41777.5234375
20,629,,,38580.390625
21,649,,2168038656.0,
21,659,,,36801.10546875
22,689,,,35473.31640625
23,699,,3257417216.0,
23,719,,,34526.4375
24,749,,566822144.0,
24,749,,,33764.0234375
25,779,,,33062.30078125
26,799,,1932569216.0,
26,809,,,32489.2421875
27,839,,,31962.09375
28,849,,1072551296.0,
28,869,,,31498.44921875
29,899,,570903616.0,
29,899,,,31062.306640625
30,929,,,30618.080078125
31,949,,1265156352.0,
31,959,,,30284.552734375
32,989,,,29965.630859375
33,999,,908163008.0,
33,1019,,,29662.896484375
34,1049,,745864000.0,
34,1049,,,29399.107421875
35,1079,,,29168.751953125
36,1099,,825794752.0,
36,1109,,,28925.81640625
37,1139,,,28733.013671875
38,1149,,908878400.0,
38,1169,,,28531.03125
39,1199,,682977856.0,
39,1199,,,28310.771484375
40,1229,,,28164.69140625
41,1249,,1247316224.0,
41,1259,,,27958.51953125
42,1289,,,27829.259765625
43,1299,,762801664.0,
43,1319,,,27664.53125
44,1349,,2395483136.0,
44,1349,,,27517.22265625
45,1379,,,27357.61328125
46,1399,,484469248.0,
46,1409,,,27308.623046875
47,1439,,,27172.48828125
48,1449,,1771679488.0,
48,1469,,,27017.763671875
49,1499,,426834048.0,
49,1499,,,26912.947265625
50,1529,,,26790.42578125
51,1549,,1098073344.0,
51,1559,,,26663.37109375
52,1589,,,26570.080078125
53,1599,,970403904.0,
53,1619,,,26450.955078125
54,1649,,341971040.0,
54,1649,,,26354.806640625
55,1679,,,26229.396484375
56,1699,,874262656.0,
56,1709,,,26147.66796875
57,1739,,,26038.271484375
58,1749,,1288459776.0,
58,1769,,,26009.666015625
59,1799,,489799104.0,
59,1799,,,25903.27734375
60,1829,,,25813.0078125
61,1849,,455151872.0,
61,1859,,,25728.125
62,1889,,,25649.888671875
63,1899,,848729472.0,
63,1919,,,25549.310546875
64,1949,,303798432.0,
64,1949,,,25479.115234375
65,1979,,,25396.40234375
66,1999,,443105344.0,
66,2009,,,25322.3203125
67,2039,,,25257.431640625
68,2049,,670666368.0,
68,2069,,,25163.505859375
69,2099,,203053168.0,
69,2099,,,25093.58984375
70,2129,,,25036.134765625
71,2149,,1111644416.0,
71,2159,,,24936.392578125
72,2189,,,24897.1953125
73,2199,,592541696.0,
73,2219,,,24832.98046875
74,2249,,1105563648.0,
74,2249,,,24771.328125
75,2279,,,24695.39453125
76,2299,,1032842624.0,
76,2309,,,24646.861328125
77,2339,,,24578.787109375
78,2349,,410977888.0,
78,2369,,,24503.78515625
79,2399,,715890560.0,
79,2399,,,24524.365234375
80,2429,,,24447.169921875
81,2449,,755905600.0,
81,2459,,,24383.19921875
82,2489,,,24342.810546875
83,2499,,975733824.0,
83,2519,,,24283.552734375
84,2549,,307550976.0,
84,2549,,,24223.728515625
85,2579,,,24200.115234375
86,2599,,367018176.0,
86,2609,,,24121.658203125
87,2639,,,24133.76171875
88,2649,,943841792.0,
88,2669,,,24087.6015625
89,2699,,4981778432.0,
89,2699,,,24031.9609375
90,2729,,,23979.025390625
91,2749,,394611872.0,
91,2759,,,23918.240234375
92,2789,,,23881.3671875
93,2799,,632951424.0,
93,2819,,,23844.04296875
94,2849,,207711792.0,
94,2849,,,23789.30859375
95,2879,,,23761.041015625
96,2899,,465352896.0,
96,2909,,,23704.791015625
97,2939,,,23704.865234375
98,2949,,870864768.0,
98,2969,,,23652.77734375
99,2999,,13253163008.0,
99,2999,,,23606.099609375
100,3000,29771.099609375,,
